FR.SNCF.140;Thann Saint-Jacques;48.3181795;7.4416241;Alsace;*
FR.SNCF.141;Tieffenbach-Struth;48.8920777;7.254649;Alsace;*
FR.SNCF.142;Turckheim;48.0853993;7.2759511;Alsace;*
FR.SNCF.143;Urmatt;48.5259972;7.3405495;Alsace;*
FR.SNCF.144;Valdieu;47.6177246;7.0243233;Alsace;*
FR.SNCF.145;Vendenheim;48.6671582;7.7168102;Alsace;*
FR.SNCF.146;Vieux-Thann;47.8273901;7.0788014;Alsace;*
FR.SNCF.147;Voellerdingen;48.9359917;7.0855629;Alsace;*
FR.SNCF.148;Walbach-la-Forge;48.0608969;7.2252453;Alsace;*
FR.SNCF.149;Walbourg;48.885291;7.8078613;Alsace;*
FR.SNCF.150;Walheim;47.6417691;7.263381;Alsace;*
FR.SNCF.151;Wesserling;47.8851639;6.9884474;Alsace;*
FR.SNCF.152;Weyersheim;48.7173846;7.7948885;Alsace;*
FR.SNCF.153;Wihr-au-Val-Soultzbach;48.0442705;7.2062327;Alsace;*
FR.SNCF.154;Willer-sur-Thur;47.8431443;7.0692472;Alsace;*
FR.SNCF.155;Wilwisheim;48.7465836;7.5078117;Alsace;*
FR.SNCF.156;Wingen-sur-Moder;48.9198047;7.3779034;Alsace;*
FR.SNCF.157;Wisches;48.5079807;7.2698211;Alsace;*
FR.SNCF.158;Wissembourg;49.0327402;7.9481003;Alsace;*
FR.SNCF.159;Wittelsheim;47.780521;7.2264555;Alsace;*
FR.SNCF.160;Zillisheim;47.6944877;7.2938092;Alsace;*
FR.SNCF.161;Zornhoff-Monswiller;48.7547769;7.3772739;Alsace;*
FR.SNCF.162;Agen;44.2338216;0.6767119;Aquitaine;*
FR.SNCF.163;Agonac;45.2917401;0.750315;Aquitaine;*
FR.SNCF.164;Aiguillon;44.2983293;0.3355634;Aquitaine;*
FR.SNCF.165;Alles-sur-Dordogne;44.8469983;0.9101122;Aquitaine;*
FR.SNCF.166;Alouette-France;44.79398;-0.66983;Aquitaine;*
FR.SNCF.167;Arbanats;44.673349;-0.3946153;Aquitaine;*
FR.SNCF.168;Arcachon;44.6547755;-1.1499306;Aquitaine;*
FR.SNCF.169;Arengosse;43.977994;-0.7359209;Aquitaine;*
FR.SNCF.170;Artix;43.3940125;-0.5710127;Aquitaine;*
FR.SNCF.171;Assat;43.2545999;-0.2954568;Aquitaine;*
FR.SNCF.172;Aubie-St-Antoine;45.0184506;-0.4173483;Aquitaine;*
FR.SNCF.173;Barsac;44.6034124;-0.3189932;Aquitaine;*
FR.SNCF.174;Bassens;44.9009811;-0.5219228;Aquitaine;*
FR.SNCF.175;Bayonne;43.4905478;-1.3863871;Aquitaine;*
FR.SNCF.176;Beautiran;44.7011057;-0.4511702;Aquitaine;*
FR.SNCF.177;Bègles;44.8005026;-0.5445;Aquitaine;*
FR.SNCF.178;Belvès;44.8540881;0.022508;Aquitaine;*
FR.SNCF.179;Bénesse-Maremne;43.6648829;-1.3909366;Aquitaine;*
FR.SNCF.180;Bergerac;44.8066113;0.5624448;Aquitaine;*
FR.SNCF.181;Biarritz;43.4783919;-1.5570007;Aquitaine;*
FR.SNCF.182;Blanquefort;44.9174173;-0.6254938;Aquitaine;*
FR.SNCF.183;Bordeaux-Saint-Jean;44.8259;-0.55683;Aquitaine;*
FR.SNCF.184;Bordeaux-St-Louis-Voyageurs;44.7002222;-0.2995785;Aquitaine;*
FR.SNCF.185;Bruges;44.9174173;-0.6254938;Aquitaine;*
FR.SNCF.186;Buzy-en-Béarn;44.7002222;-0.2995785;Aquitaine;*
FR.SNCF.187;Cadaujac;44.7519231;-0.537255;Aquitaine;*
FR.SNCF.188;Cambo-les-Bains;43.3639817;-1.397665;Aquitaine;*
FR.SNCF.189;Castillon;44.8540881;0.022508;Aquitaine;*
FR.SNCF.190;Caudéran-Mérignac;44.8430928;-0.62878;Aquitaine;*
FR.SNCF.191;Caudrot;44.5795837;-0.1454386;Aquitaine;*
FR.SNCF.192;Cavignac;45.106856;-0.3838171;Aquitaine;*
FR.SNCF.193;Cenon;44.856;-0.53423;Aquitaine;*
FR.SNCF.194;Cerons;44.6034124;-0.3189932;Aquitaine;*
FR.SNCF.195;Château-l'Evèque;45.1883305;0.7075646;Aquitaine;*
FR.SNCF.196;Coarraze - Nay;43.1763823;-0.2382964;Aquitaine;*
FR.SNCF.197;Condat-le-Lardin;44.7002222;-0.2995785;Aquitaine;*
FR.SNCF.198;Coutras;45.038648;-0.1926094;Aquitaine;*
FR.SNCF.199;Couze;44.8355012;0.7037868;Aquitaine;*
FR.SNCF.200;Creysse-Mouleydier;44.855559;0.5756305;Aquitaine;*
FR.SNCF.201;Croix-d'Hins;44.6914591;-0.8541284;Aquitaine;*
FR.SNCF.202;Cubzac-les-Ponts;44.972247;-0.4576813;Aquitaine;*
FR.SNCF.203;Dax;43.7201589;-1.0508715;Aquitaine;*
FR.SNCF.204;Douzillac;45.0990698;0.4422262;Aquitaine;*
FR.SNCF.205;Facture;44.6374029;-0.9669004;Aquitaine;*
FR.SNCF.206;Gan;43.2341607;-0.3893334;Aquitaine;*
