NL.NS.HVSN;Hilversum Noord;52.23883; 5.17362;
NL.NS.HVSP;Hilversum Sportpark;52.21683; 5.18728;
NL.NS.HNP;Hindeloopen;52.94671; 5.42322;
NL.NS.HLD;Hoek van Holland Haven;51.97672; 4.12731;
NL.NS.HLDS;Hoek van Holland Strand;51.98212; 4.1193;
NL.NS.HB;Hoensbroek;50.90587; 5.93016;
NL.NS.HOR;Hollandsche Rading;52.17837; 5.17921;
NL.NS.HON;Holten;52.28437; 6.42139;
NL.NS.HFD;Hoofddorp;52.2937; 4.70102;
NL.NS.HGV;Hoogeveen;52.7338; 6.47271;
NL.NS.HGZ;Hoogezand-Sappemeer;53.15994; 6.7701;
NL.NS.HKS;Hoogkarspel;52.69054; 5.18238;
NL.NS.HN;Hoorn;52.64536; 5.05461;
NL.NS.HNK;Hoorn Kersenboogerd;52.65343; 5.08466;
NL.NS.HRT;Horst-Sevenum;51.42702; 6.04162;
NL.NS.HTN;Houten;52.03464; 5.16788;
NL.NS.SGL;Houthem-Sint Gerlach;50.87361; 5.79648;
NL.NS.HDG;Hurdegaryp;53.21919; 5.93445;
NL.NS.KPN;Kampen;0.0; 0.0;
NL.NS.BZL;Kapelle-Biezelinge;51.4807; 3.95675;
NL.NS.KRD;Kerkrade Centrum;50.86134; 6.05725;
NL.NS.KTR;Kesteren;51.93186; 5.58387;
NL.NS.KBK;Klarenbeek;52.17817; 6.08464;
NL.NS.KMR;Klimmen-Ransdaal;50.86668; 5.89058;
NL.NS.KBW;Koog Bloemwijk;52.4585; 4.80569;
NL.NS.KZD;Koog-Zaandijk;52.46863; 4.80514;
NL.NS.KMW;Koudum-Molkwerum;52.90305; 5.41079;
NL.NS.KBD;Krabbendijke;51.43346; 4.11735;
NL.NS.KMA;Krommenie-Assendelft;52.49458; 4.76124;
NL.NS.KW;Kropswolde;53.16196; 6.72216;
NL.NS.KRG;Kruiningen-Yerseke;51.46576; 4.03652;
NL.NS.ZLW;Lage Zwaluwe;51.69066; 4.66341;
NL.NS.LG;Landgraaf;50.89675; 6.01966;
NL.NS.LDM;Leerdam;51.8949; 5.0931;
NL.NS.LW;Leeuwarden;53.19661; 5.79305;
NL.NS.LWC;Leeuwarden Camminghaburen;53.202633;5.842262;
NL.NS.LEDN;Leiden Centraal;52.16693; 4.48252;
NL.NS.LDL;Leiden Lammenschans;52.14701; 4.49266;
NL.NS.LLS;Lelystad Centrum;52.50821; 5.47277;
NL.NS.LTV;Lichtenvoorde-Groenlo;52.01278; 6.59456;
NL.NS.LC;Lochem;52.16703; 6.42668;
NL.NS.LP;Loppersum;53.33505; 6.74744;
NL.NS.LTN;Lunteren;52.08547; 5.62416;
NL.NS.MRN;Maarn;52.06442; 5.37031;
NL.NS.MAS;Maarssen;52.1359; 5.0336;
NL.NS.MSS;Maassluis;51.91681; 4.25351;
NL.NS.MSW;Maassluis West;51.92597; 4.22112;
NL.NS.MT;Maastricht;50.84997; 5.70598;
NL.NS.MTR;Maastricht Randwyck;50.83793; 5.71765;
NL.NS.MG;Mantgum;53.12994; 5.7132;
NL.NS.MRB;Marienberg;52.50911; 6.57438;
NL.NS.MTH;Martenshoek;53.161; 6.74029;
NL.NS.MES;Meerssen;50.88276; 5.75088;
NL.NS.MP;Meppel;52.69214; 6.19788;
NL.NS.MDB;Middelburg;51.49535; 3.61816;
NL.NS.MMLH;Mook Molenhoek;51.7569; 5.872;
NL.NS.NDB;Naarden-Bussum;52.28117; 5.15701;
NL.NS.NA;Nieuw Amsterdam;52.71872; 6.84876;
NL.NS.NVP;Nieuw Vennep;52.25941; 4.64572;
NL.NS.NWK;Nieuwerkerk ad IJssel;51.96556; 4.61676;
NL.NS.NSCH;Nieuweschans;53.18462; 7.19943;
NL.NS.NKK;Nijkerk;52.22255; 5.49382;
NL.NS.NM;Nijmegen;51.8434; 5.85231;
NL.NS.NMD;Nijmegen Dukenburg;51.8243; 5.79508;
NL.NS.NMH;Nijmegen Heyendaal;51.82718; 5.86778;
NL.NS.NML;Nijmegen Lent;0.0; 0.0;
NL.NS.NVD;Nijverdal;52.36594; 6.47013;
NL.NS.NVDW;Nijverdal West;52.3672;6.446;
NL.NS.NS;Nunspeet;52.37123; 5.78469;
NL.NS.NH;Nuth;50.92043; 5.89266;
NL.NS.OBD;Obdam;52.67816; 4.90912;
NL.NS.OT;Oisterwijk;51.58229; 5.19344;
NL.NS.ODZ;Oldenzaal;52.30662; 6.93507;
NL.NS.OST;Olst;52.33592; 6.11344;
NL.NS.OMN;Ommen;52.51; 6.41781;
NL.NS.OLV;Onze Lieve Vrouwe ter Nood;0.0; 0.0;
NL.NS.OTB;Oosterbeek;51.99468; 5.84142;
NL.NS.OP;Opheusden;51.92633; 5.63708;
NL.NS.O;Oss;51.765; 5.52967;
NL.NS.OW;Oss West;51.75861; 5.50668;
NL.NS.ODB;Oudenbosch;51.58797; 4.53309;
NL.NS.OVN;Overveen;52.39108; 4.60755;
NL.NS.PMR;Purmerend;52.50408; 4.9542;
NL.NS.PMO;Purmerend Overwhere;52.51166; 4.9677;
NL.NS.PMW;Purmerend Weidevenne;0.0; 0.0;
NL.NS.PT;Putten;52.26579; 5.57587;
NL.NS.RAT;Raalte;52.39141; 6.27854;
NL.NS.RVS;Ravenstein;51.79507; 5.63738;
NL.NS.RV;Reuver;51.2833; 6.07948;
NL.NS.RH;Rheden;52.01039; 6.03137;
NL.NS.RHN;Rhenen;51.95841; 5.57831;
NL.NS.RSN;Rijssen;52.3121; 6.51921;
NL.NS.RSW;Rijswijk;52.03983; 4.31951;
NL.NS.RB;Rilland-Bath;0.0; 0.0;
NL.NS.RM;Roermond;51.1933; 5.9947;
NL.NS.RD;Roodeschool;53.41954; 6.76076;
NL.NS.RSD;Roosendaal;51.54033; 4.45833;
NL.NS.RS;Rosmalen;51.71525; 5.36921;
NL.NS.RTD;Rotterdam Centraal;51.92549; 4.46953;
NL.NS.RTA;Rotterdam Alexander;51.95188; 4.55191;
NL.NS.RTB;Rotterdam Blaak;51.92; 4.48965;
NL.NS.RLB;Rotterdam Lombardijen;51.88039; 4.53096;
NL.NS.RTN;Rotterdam Noord;51.9425; 4.48105;
NL.NS.RTST;Rotterdam Stadion;0.0; 0.0;
NL.NS.RTZ;Rotterdam Zuid;51.9031; 4.51172;
NL.NS.RL;Ruurlo;52.08125; 6.44923;
NL.NS.SPTN;Santpoort Noord;52.43361; 4.63238;
NL.NS.SPTZ;Santpoort Zuid;52.41968; 4.63142;
NL.NS.SPM;Sappemeer Oost;53.15913; 6.79573;
NL.NS.SWD;Sauwerd;53.29188; 6.54047;
NL.NS.SGN;Schagen;52.78552; 4.80522;
NL.NS.SDA;Scheemda;53.16561; 6.97786;
NL.NS.SDM;Schiedam Centrum;51.92219; 4.40956;
NL.NS.NWL;Schiedam Nieuwland;51.92317; 4.38361;
NL.NS.SOG;Schin op Geul;50.85632; 5.872;
NL.NS.SN;Schinnen;50.93898; 5.87596;
NL.NS.SHL;Schiphol;52309069; 4.761897;
NL.NS.STD;Sittard;51.00213; 5.8587;
NL.NS.SDT;Sliedrecht;51.82994; 4.77785;
NL.NS.SK;Sneek;53.03296; 5.71854;
NL.NS.SKND;Sneek Noord;53.04088; 5.66297;
NL.NS.ST;Soest;52.17359; 5.31009;
NL.NS.STZ;Soest Zuid;52.16568; 5.30315;
NL.NS.SD;Soestdijk;52.18319; 5.30016;
NL.NS.SBK;Spaubeek;50.94361; 5.84971;
NL.NS.STV;Stavoren;52.88695; 5.36;
NL.NS.STM;Stedum;53.32661; 6.68752;
NL.NS.SWK;Steenwijk;52.8722; 6.11877;
NL.NS.SRN;Susteren;51.06086; 5.863;
NL.NS.SM;Swalmen;51.23523; 6.03182;
NL.NS.TG;Tegelen;51.33509; 6.13675;
NL.NS.TBG;Terborg;51.92283; 6.36442;
NL.NS.TL;Tiel;51.88983; 5.42261;
NL.NS.TPSW;Tiel Passewaaij;51.874085;5.392412;
NL.NS.TB;Tilburg;51.56081; 5.08399;
NL.NS.TBR;Tilburg Reeshof;51.573687;4.993482;
NL.NS.TBWT;Tilburg West;51565015;5.051900;
NL.NS.TWL;Twello;0.0; 0.0;
NL.NS.UTG;Uitgeest;52.52128; 4.70346;
NL.NS.UHZ;Uithuizen;53.40994; 6.67496;
NL.NS.UHM;Uithuizermeeden;53.41417; 6.72039;
NL.NS.UST;Usquert;53.40123; 6.60952;
NL.NS.UT;Utrecht Centraal;52.08998; 5.10955;
NL.NS.UTL;Utrecht Lunetten;52.06625; 5.14363;
