Non symb;Nom court - FR;Nom court - NL;Nom long - FR;Nom long - NL;GPS_LATITUDE;GPS_LONGITUDE
FRSP;BRUGGE-ST-P;BRUGGE-ST-P;BRUGGE-SINT-PIETERS;BRUGGE-SINT-PIETERS;51,222658;3,201742
RFRT;BRUGGE-T;BRUGGE-T;BRUGGE-ROOSTER T;BRUGGE-ROOSTER T;51,184696;3,224916
FBNL;BRUSS-LUCHTH;BRUSS-LUCHTH;BRUSSEL-NATIONAAL-LUCHTHAVEN;BRUSSEL-NATIONAAL-LUCHTHAVEN;50,896821;4,48549
FBCL;BRUX-CENTRAL;BRUSS-CENTR;BRUXELLES-CENTRAL;BRUSSEL-CENTRAAL;50,845175;4,357131
FBCO;BRUX-CONGRES;BRUSS-CONGR;BRUXELLES-CONGRES;BRUSSEL-CONGRES;50,851671;4,362634
FBCK;BRUXELL-CHAP;BRUSSEL-KAP;BRUXELLES-CHAPELLE;BRUSSEL-KAPELLEKERK;50,841131;4,347869
FBN;BRUXELLES-ND;BRUSSEL-ND;BRUXELLES-NORD;BRUSSEL-NOORD;50,859658;4,360854
FBKE;BRUXELLES-PI;BRUSSEL-KE;BRUXELLES-PETITE-ILE;BRUSSEL-KLEIN-EILAND;50,824141;4,318802
LX;BRUXELL-LUX;BRUSSEL-LUX;BRUXELLES-LUXEMBOURG;BRUSSEL-LUXEMBURG;50,83886;4,37382
FBMZ;BRUXELL-MIDI;BRUSSEL-ZUID;BRUXELLES-MIDI;BRUSSEL-ZUID;50,836782;4,336922
RFBNF;BRUXELL-ND-F;BRUSSEL-ND-F;BRUXELLES-NORD-GRIL F;BRUSSEL-NOORD-ROOSTER F;50,866083;4,364614
FBKIF;BRUXELL-PI-F;BRUSSEL-KE-F;BRUXELLES-PETITE-ILE-FAISC.F;BRUSSEL-KLEIN-EILAND-BUNDEL F;50,828128;4,321945
FBMA;BRUX-M-A.TGV;BRUS-Z-W.HST;BRUXELLES-MIDI-A.T.-TGV;BRUSSEL-ZUID-T.W.-HST;50,817486;4,314205
RNZV;BRUX-M-JNM;BRUSS-ZD-NZV;BRUXELLES-MIDI-GRIL JNM;BRUSSEL-ZUID-ROOSTER NZV;50,83875;4,341146
FBOW;BRUX-OUEST;BRUSSEL-WEST;BRUXELLES-OUEST;BRUSSEL-WEST;50,851898;4,322409
FBKIC;BRUX-PI-CARW;BRUS-KE-CARW;BRUXELLES-PETITE-ILE-CARWASH;BRUSSEL-KLEIN-EILAND-CARWASH;50,822995;4,318613
FBSM;BRUX-SCHUMAN;BRUS-SCHUMAN;BRUXELLES-SCHUMAN;BRUSSEL-SCHUMAN;50,842851;4,380022
